gene_id,FPKM,TPM
Zfp52,1347.22124,57.16453339062363
Gpcpd1,1064.611963,45.17301561172749
Spty2d1,1922.094147,81.5572170210913
Lpin2,471.3080168,19.99827649958384
Tnfaip3,2937.556671,124.6447513002606
Dipk2a,436.2012744,18.508646965417036
Tent5a,3258.783364,138.2748615395841
Tmem64,3314.954152,140.65826880103998
Ipmk,1348.976577,57.23901486224019
Fosl2,4521.748422,191.8642840380238
Paxbp1,8149.152581,345.7802556778731
Camsap2,1225.22531,51.988070752604955
Zmat3,2336.353707,99.13484551068153
Ifngr1,1694.77799,71.91186578905852
Ets2,1518.366609,64.42647736120051
Lrrc58,1942.280524,82.413754008329
Gna13,7176.695816,304.51751755938835
Nr3c1,13808.35946,585.9085367603792
Tab3,865.3812003,36.719368023152086
Thap12,1623.686836,68.89536595521463
Slc39a10,1045.303255,44.353719381513805
Cmtm6,4858.773149,206.16472756432788
Itgb1,2159.064658,91.61221636823093
Prdm2,2612.819303,110.86567807527253
Sos2,1152.378819,48.897089447144495
Pdzd8,2541.72815,107.84917828386006
Csnk1g1,1657.038241,70.31051400079228
P2ry10,5480.162489,232.53117029871322
Mtmr3,4312.863304,183.00098827918075
Prdx6,2294.225616,97.34729006458959
Mef2d,2597.021269,110.19534478829196
Fam102a,10795.32329,458.0610818411547
Mlec,15441.70065,655.2135508307007
Csf2rb,18093.13737,767.717821408832
Il1r2,4414.672857,187.3209139299617
Spn,11512.3785,488.486764927153
Rac2,19825.6551,841.2310386042737
Capn2,31196.72897,1323.722045002646
Fermt3,19835.30946,841.6406869739693
Skap1,4954.439022,210.22396804323515
Top2a,23080.92779,979.3569372006249
Myo1g,14783.44923,627.2829970650731
Cbx5,6704.510131,284.4820003367256
Atp2a3,10381.9414,440.5206941510199
Il9r,5622.344796,238.56416992396956
Cdk4,6403.469815,271.7084270846398
Tph1,63604.64055,2698.836308815238
Flot1,2930.535322,124.3468253713629
Krcc1,1952.812546,82.8606428380284
Egr1,21524.82144,913.3291083906095
Itgb2,9802.680148,415.94180673543224
Elmo2,7160.020113,303.8099435153837
Dnajc5,3768.708797,159.91173050808158
Arap2,1000.542159,42.454441749212734
Ttc7,3674.798261,155.92697150079087
Rora,1304.21548,55.339737187507694
Abi1,4059.21709,172.23841488803657
Padi2,10831.3077,459.58795207294145
B4galnt4,2324.066347,98.61347516693411
Tbc1d9b,7477.736132,317.2910908114741
Parvg,2983.195436,126.58126968958564
Il12rb1,11773.92373,499.584504919356
Ccnd2,12661.24665,537.2348916432214
Kansl3,1953.690215,82.8978835950524
Ssh2,4205.78774,178.45761821355003
Fam168b,6801.053672,288.5784815302255
Smox,6636.051983,281.5772227315223
Neo1,425.6692517,18.061758106015624
Rab8b,11212.21586,475.7504327291112
Cd47,2447.817614,103.86441927656935
Chaf1a,2628.617338,111.5360114046845
Myo6,35053.20462,1487.35784921885
Pank3,3267.560049,138.64726889766692
Dusp16,2730.42689,115.85593701303405
Rybp,387.9295036,16.460406355937682
Dennd1c,4954.439022,210.22396804323515
Tab2,6893.208871,292.48875906589956
Mtpn,7696.275604,326.5640346854241
Ccser2,2826.970432,119.95241824896533
Nabp1,4606.882272,195.4766356448003
Hif1a,17391.00252,737.925230640633
Jmy,528.3564732,22.418924492604894
Timeless,1935.259175,82.11582807943127
Ucp2,46206.61668,1960.6131522032763
Atg14,224.6831514,9.533629020364796
Wac,3528.227612,149.70776821770883
Nedd4,9602.571716,407.4509183771034
Ccny,2700.586159,114.58975191068953
Kntc1,2932.290659,124.42130684297943
Zc3hav1,8969.772684,380.60034601356324
Poldip3,3290.379432,139.6155281135452
Rb1cc1,1886.987404,80.06758746146564
Otud4,4182.968357,177.4893589976718
Vps4b,2955.110042,125.3895660588577
Pde4d,1420.945399,60.29275541067665
Mkrn1,1348.976577,57.23901486224019
Socs3,5364.310239,227.61539283256826
Eif1a,2035.313391,86.36127225859569
Ntng2,4123.286895,174.95698879298274
Itgal,19510.57209,827.8616136641184
Nr4a1,445.8556285,18.918295084767024
Tubb4b,9970.314843,423.05478776277596
Rasal3,14707.09206,624.0430526042223
Myl12b,6686.956759,283.73718553569705
Crem,1173.442865,49.79086719140618
Nepro,1245.411687,52.84460773984264
Smad5,789.9017041,33.5166645229962
Ubl3,1365.65228,57.94658890624474
Rapgef2,6623.764623,281.0558523877749
Bnip3l,1125.171094,47.742626573440546
Unc13d,4106.611193,174.24941479140963
Kdm5b,1872.067039,79.43449493150911
Ccr4,936.4723536,39.73586782729398
Pola2,2524.174779,107.10436352526294
Adipor2,2835.747118,120.32482564947959
Pttg1ip,1926.482489,81.743420678917
Pkn2,1719.352709,72.9546064341219
Foxm1,2991.972121,126.95367704766849
Nr2c2,1419.190062,60.21827393906008
Aldh3a1,9415.628313,399.5186411195459
Bmt2,251.0132082,10.650851170989897
Jag1,288.7529563,12.252202921067838
Ccr2,12122.35815,514.3690781172463
Bckdk,1409.535708,59.80862582395325
Tcf12,2955.110042,125.3895660588577
Btbd7,1409.535708,59.80862582395325
Coro2a,14282.30048,606.0185353697956
Ets1,17551.61586,744.7402854844904
Fam91a1,2244.198508,95.22456797500736
Oser1,333.5140528,14.151480574584626
Abcb9,4324.272996,183.48511790833558
Ptbp2,669.6611114,28.414683369323534
Kbtbd2,1498.180232,63.56994037396281
Prps1l3,1262.965058,53.58942249843975
Lat2,3842.432956,163.03995252813462
Birc3,5072.924277,215.25146769558927
Nopchap1,1498.180232,63.56994037396281
Ganab,9067.193894,384.73406796408705
Adss,2242.443171,95.15008650339081
