gene_id,FPKM,TPM
Zfp52,19914.22431,685.3798788990279
Gpcpd1,10740.88338,369.66467966097645
Spty2d1,18704.87321,643.7581266498986
Lpin2,4583.634948,157.7531274466995
Tnfaip3,22318.35602,768.1219166810212
Dipk2a,3229.793102,111.15849508665475
Tent5a,21407.70007,736.7802357290666
Tmem64,20742.31412,713.879914092983
Ipmk,8180.118845,281.53187270018026
Fosl2,28765.80014,990.0210176143605
Paxbp1,48570.74574,1671.6398949368202
Camsap2,7412.739432,255.1212829144942
Zmat3,12760.11117,439.1596334506052
Ifngr1,8701.014049,299.45931422534824
Ets2,7915.421516,272.4218907862065
Lrrc58,9892.152031,340.454232889855
Gna13,37721.79786,1298.2560026783392
Nr3c1,65182.32447,2243.3539442042033
Tab3,4042.098209,139.11527448203165
Thap12,6931.91309,238.57287535809553
Slc39a10,4396.646926,151.31763561538708
Cmtm6,19043.63722,655.4172318470092
Itgb1,8365.892659,287.92557562126234
Prdm2,10009.9302,344.5077569412856
Sos2,4331.079697,149.06103456619638
Pdzd8,9462.322423,325.66095949429905
Csnk1g1,6148.748973,211.61902973941451
P2ry10,18967.14212,652.7845306401618
Mtmr3,15182.456,522.5285048860544
Prdx6,7302.24651,251.31849229002927
Mef2d,7474.664036,257.25251719857715
Fam102a,28985.57178,997.5848100907264
Mlec,5131.242725,176.59992489368608
Csf2rb,5720.133573,196.86754525408892
Il1r2,1114.642883,38.36221749207581
Spn,2880.101217,99.12328959422084
Rac2,4684.414206,161.2216067893214
Capn2,7381.170025,254.03477128292093
Fermt3,3839.325485,132.13652688655745
Skap1,966.5095148,33.26397071241899
Top2a,4430.644748,152.48772503300447
Myo1g,2707.683691,93.18926468567295
Cbx5,1249.419963,43.00078625231514
Atp2a3,1832.239771,63.0594620615661
Il9r,892.4428308,30.71484732603223
Cdk4,781.9499089,26.912056705008954
Tph1,5778.415554,198.8734128418974
Flot1,296.2667357,10.196493535222025
Krcc1,152.9901996,5.265402399928381
Egr1,995.6505052,34.26690450288153
Itgb2,2918.955871,100.46053465275978
Elmo2,2458.771065,84.62253857027753
Dnajc5,13177.7987,453.53501781269057
Arap2,3816.255534,131.34253762659685
Ttc7,621.6744618,21.3959208609066
Rora,18007.91786,619.7712936231579
Abi1,12658.1177,435.64936506008655
Padi2,1840.739227,63.35198443317876
B4galnt4,172.4175265,5.934024925756193
Tbc1d9b,1049.075654,36.10561644288511
Parvg,773.4504534,26.619534350604596
Il12rb1,3169.082705,109.06904967838555
Ccnd2,3981.387813,137.02582910817907
Kansl3,8403.533105,289.2210317695709
Ssh2,12129.93725,417.4711901423695
Fam168b,18561.59667,638.8270353803802
Smox,27214.0424,936.6147932309299
Neo1,3147.226963,108.31684936307194
Rab8b,54683.06848,1882.0052576102396
Cd47,6814.134921,234.5193513066649
Chaf1a,468.6842622,16.130518460978216
Myo6,8686.443553,298.95784730258373
Pank3,12874.24671,443.08779059926167
Dusp16,11968.4476,411.91326556356137
Rybp,2113.936012,72.75448871876515
Dennd1c,509.9673319,17.55134132965294
Tab2,35638.21704,1226.546236440001
Mtpn,23046.88078,793.195261442585
Ccser2,10790.6659,371.3780247050892
Nabp1,594.9618872,20.47656488402149
Hif1a,72042.5993,2479.4612742717063
Jmy,3649.909047,125.61745723478425
Timeless,273.196785,9.402504285586392
Ucp2,6333.308579,217.9709437502662
Atg14,1782.457246,61.34611684537034
Wac,14742.91272,507.40091993332265
Nedd4,1942.732693,66.86225268603103
Ccny,7888.708941,271.50253479555477
Kntc1,163.918071,5.641502571351836
Zc3hav1,27560.09167,948.5246323024221
Poldip3,12939.81394,445.344391682869
Rb1cc1,8044.127557,276.8515150297105
Otud4,14031.38688,482.912620190317
Vps4b,8090.267458,278.4394935152152
Pde4d,10026.92911,345.0928016156777
Mkrn1,5767.487682,198.49731264982395
Socs3,1339.27135,46.09316543728021
Eif1a,7163.826805,246.55455676468216
Ntng2,602.2471348,20.727298331637126
Itgal,9940.720348,342.1257891958204
Nr4a1,4197.516825,144.46425471618738
Tubb4b,2955.382109,101.71420189083797
Rasal3,4261.869845,146.67906682073115
Myl12b,1482.547886,51.024256569132206
Crem,8433.888303,290.2657544564972
Nepro,4133.163804,142.2494425772271
Smad5,3262.576716,112.28679559404178
Ubl3,7214.823539,248.30969092552496
Rapgef2,30217.99283,1040.0005515653995
Bnip3l,5497.933521,189.2201750949287
Unc13d,802.5914438,27.622468141067145
Kdm5b,10993.43863,378.35677250706306
Ccr4,4360.220688,150.0639683773089
Pola2,363.048172,12.49488347055148
Adipor2,9456.251383,325.45201494314716
Pttg1ip,6646.574226,228.7524820046219
Pkn2,7613.083741,262.0164527239242
Foxm1,501.4678764,17.258818975248587
Nr2c2,6543.366552,225.20042484153927
Aldh3a1,1376.911796,47.38862158558879
Bmt2,1994.943634,68.65917572268756
Jag1,3543.058749,121.94003334101045
Ccr2,2996.665179,103.13502476983768
Bckdk,160.2754472,5.516135847544017
Tcf12,7667.723098,263.8969535810415
Btbd7,4987.966189,171.66883376183407
Coro2a,2877.672801,99.03971177376009
Ets1,45398.02041,1562.4454784933268
Fam91a1,8703.442465,299.542892045809
Oser1,2232.928389,76.84980168042615
Abcb9,962.866891,33.138603988611166
Ptbp2,4357.792272,149.9803905568481
Kbtbd2,6890.63002,237.1520524790958
Prps1l3,4265.512469,146.80443355142228
Lat2,1091.572932,37.568228232115196
Birc3,882.7291674,30.380536064839156
Nopchap1,4100.38019,141.12114206984003
Ganab,3771.32984,129.79634801690602
Adss,7537.802849,259.4255404273071
Pola1,431.0438163,14.83506231611131
Slc7a8,953.1532275,32.804292723976424
Scly,279.2678246,9.611448822971651
Il27ra,1426.694321,49.10196680178454
Daam1,6421.945758,221.0215340250009
Fam199x,3139.941715,108.06611590168964
Pcyt1a,14118.80985,485.9214215204047
Pgghg,97.13663465,3.3431126343015523
Trappc8,8044.127557,276.8515150297105
Avil,148.1333678,5.098246765890182
Crkl,7693.221464,264.7745206270463
Scd2,5198.024162,178.89831485310714
Tipin,367.9050037,12.662039101148016
Gnaq,10751.81125,370.04077978421674
Zfp760,1273.704122,43.83656442250613
Was,1183.852735,40.74418523754103
Tpp1,3409.495876,117.3432534565849
Adamts10,154.2044075,5.3071913067171
Snx18,10950.94135,376.89416064899973
Fam107b,23619.98692,812.9196258323265
Il24,682.3848584,23.485366255409133
Mcm6,2670.043245,91.89380853736438
Trpm7,15839.34249,545.1363040128589
Clspn,468.6842622,16.130518460978216
Dock2,3802.899247,130.88285964847927
Sp3,13005.38117,447.60099276647634
Retreg3,7733.290326,266.1535545958156
Gimap8,392.1891624,13.497817261014026
Aagab,4138.020636,142.41659821814864
Il2ra,25835.9164,889.1843828727771
Il7r,9684.522475,333.3083296534593
Slc49a4,1695.034275,58.33731548086602
Kpna4,12259.8575,421.9426033305205
Maea,7617.940572,262.18360833042914
Jarid2,5057.176041,174.0508015072993
Nr1d2,10098.56738,347.55834725043695
Gnb1,21849.67176,751.9913982957596
Snd1,2393.203836,82.36593752108685
G3bp2,12888.81721,443.58925765969263
Cdc6,251.3410422,8.650303942739482
Cnnm2,16848.34928,579.8628864181414
Lrp12,6005.472437,206.68793860756256
Cdc73,5395.940055,185.7099068420764
Ythdf3,6998.694526,240.8712652831
Stam,3306.288202,113.79119629350225
Celf1,24820.83857,854.2488559163427
Pqlc3,524.5378271,18.052808224884213
Epc2,5916.835258,203.63734833282783
Blcap,4697.770493,161.681284767439
Lamc1,9368.828412,322.4432135786428
Ramp3,1164.425408,40.07556270827156
Zfand6,4620.061185,159.0067946503611
Rsbn1l,10654.67461,366.69766696578637
Ctdsp2,6143.892142,211.45187413290958
Dstn,5007.393516,172.33745629110356
Scaf8,11150.07145,383.7475415137827
Qki,10634.03308,365.98725569836944
Gmfb,11243.56546,386.9652873950224
Tollip,7997.987655,275.26353650978933
Rasa1,8832.148505,303.97251625489645
Rc3h1,8414.460976,289.59713192722774
Trmt10c,1642.823334,56.5403924442095
Thumpd1,4652.8448,160.13509519216475
Suco,5856.124861,201.54790292455866
Atp6v0a1,641.1017887,22.06454338673441
Smg7,16510.79947,568.2455698559285
Nup62,7505.019235,258.29723991992
Tlk1,16875.06185,580.7822422367101
Nomo1,1200.851646,41.329229946349756
A130040M12Rik,9688.165098,333.4336963497338
Cxcr4,2717.397354,93.52357593309938
Crebrf,6377.020065,219.47534444972663
Zfp36l1,6860.274822,236.10732979216954
Picalm,12347.28047,424.9514046606082
Ipo7,12219.78864,420.5635694305844
Prpf39,11590.82893,398.91691510141214
Map3k2,12599.83572,433.6434975066947
Stxbp2,1109.786051,38.195061851154286
Tial1,6089.252785,209.5713732757923
Pclaf,254.983666,8.7756706665473
Uhrf2,13023.59429,448.22782641993194
Cand1,9400.397818,323.52972517579946
Anapc5,1232.421052,42.415741543506414
Atp2b4,1183.852735,40.74418523754103
Rnf145,11437.83873,393.6515126877171
Rnf152,3438.636867,118.34618726769743
Rictor,12213.7176,420.35462487943244
Alkbh5,13474.06543,463.731511151738
Osm,2632.402799,90.5983523890558
Rbm27,10715.38501,368.78711247730536
Adgrg5,1266.418874,43.58583096112384
Crebbp,12252.57225,421.6918698003049
Wls,1551.757739,53.406224349014025
Ranbp9,7277.962351,250.4827141198383
Nmt2,6906.414724,237.69530831209073
Knstrn,149.3475758,5.140035676120561
Nrros,1306.487736,44.96486492989317
Erbin,39923.15684,1374.0192926583588
Ice1,8560.165928,294.6118008795405
Sec22b,4229.086231,145.5507663133441
Slc25a19,3495.704639,120.31026591085886
Top2b,16349.30982,562.6876452771204
Itprid2,16689.28804,574.3885394532946
Luc7l3,15566.1457,535.7337995551894
Arntl,3438.636867,118.34618726769743
Vopp1,5933.834169,204.22239304163654
Ogdh,1807.955612,62.22368389137511
Mfsd14b,6538.50972,225.03326920061775
Pde7a,2544.979828,87.58955102455148
Rnf11,5266.019806,181.238493688342
Ube2e3,2447.843193,84.24643837820413
Rnf125,2441.772153,84.03749382705222
Dbnl,1950.017941,67.11298614741332
Tlk2,5612.069067,193.14833245008478
Arl5b,2517.053045,86.62840612366936
Map4k3,7396.954729,254.5780271159159
Gstm1,315.6940626,10.865116061049836
Zfp654,2230.499973,76.76622385996538
Timm29,2830.318692,97.40994437802507
Chmp2b,3584.341819,123.36085622001016
Gpat4,6185.175211,212.8726969774927
Ccdc117,3481.134144,119.80879902251091
Pold1,780.735701,26.870267798220233
