gene_id,FPKM
Rab5b,2464.493317
Rfc5,1247.167024
Slc25a11,2172.229686
Kdm6a,1542.06366
Smurf1,1065.489632
Mob1b,631.9213633
Clk1,1788.688525
Plcl2,2327.577021
Lims1,1635.096527
Fndc9,96.54354161
Dusp4,449.3663028
Ddx10,1229.613653
Zzz3,2086.218167
Hipk1,7702.419283
Ppp4r3b,4412.039852
Enc1,470.4303482
Clock,1528.898632
Tcf3,3085.004989
Slc16a1,1510.467592
Lmo4,790.7793727
Tmem201,892.5889256
Tbcd,2578.59023
Tex2,5676.760247
Wtap,2417.099215
Supt20,2842.768466
Smurf2,955.781062
Fam222b,1040.037244
Shmt2,5048.349558
Cnot2,2454.838963
Slc19a2,524.8457989
Apobec3,5781.202805
Cltc,15892.82229
Ndel1,1922.971815
Zbtb44,854.8491775
Lig1,6421.023186
Zfp317,1047.058592
Taf5l,1097.963369
Gimap3,12120.60282
Dhx15,7003.79511
Vps37b,4290.043922
Kpna1,2460.104974
Rock2,2719.017199
Mynn,1988.796957
Stard7,2116.058898
Epc1,1436.743433
Phf19,1079.532329
Galnt6,7170.552136
Phf2,3237.719318
Dhfr,1092.697357
E2f8,2522.419442
Pde4b,2890.162568
Kat7,3328.996848
Preb,3112.212714
Spata2,1124.293425
Miat,1397.248348
Zfp622,1756.214789
Gpbp1,3311.443477
Eif2s2,2098.505527
Osbpl2,1394.615342
Tmx4,1649.139224
Jak3,13277.36998
0610030E20Rik,967.1907532
Atp7a,506.4147592
Ccr5,4331.294344
Glul,4159.271306
Ubxn7,2220.501457
Gpr55,7319.755791
Rbm14,2600.531944
Taf1,4621.802638
Cdc40,1463.07349
Tmem161b,477.4516967
Bcl3,7847.234596
Esyt1,29361.52401
Tnks2,5331.836503
Sf3b1,13718.83726
Chaserr,320.3490244
Prim1,1600.867454
Rnf4,4394.48648
Trim33,1492.914221
Fanca,1113.761403
Josd1,908.3869597
Pde3b,4171.558666
Stk24,3468.54615
Nufip1,539.7661645
Tmf1,2361.806095
Papola,6630.785972
Sympk,4180.335352
