gene_id,FPKM
Rab5b,534.4011662
Rfc5,207.4933213
Slc25a11,248.145074
Kdm6a,6500.892792
Smurf1,4670.717007
Mob1b,3715.400818
Clk1,10774.4083
Plcl2,5891.963412
Lims1,5641.277604
Fndc9,1316.947406
Dusp4,2165.552745
Ddx10,3783.153739
Zzz3,6964.153391
Hipk1,27800.7174
Ppp4r3b,16916.21061
Enc1,1741.250076
Clock,7822.074756
Tcf3,1309.325203
Slc16a1,4899.383116
Lmo4,5406.683114
Tmem201,3762.827863
Tbcd,973.1013312
Tex2,14647.33466
Wtap,7680.640533
Supt20,6081.671592
Smurf2,3906.80282
Fam222b,2709.269938
Shmt2,1949.590308
Cnot2,10537.27307
Slc19a2,3834.815342
Apobec3,1464.31001
Cltc,49242.82315
Ndel1,5858.086952
Zbtb44,6176.525682
Lig1,1094.209678
Zfp317,3432.532372
Taf5l,3849.212837
Gimap3,2284.967268
Dhx15,24828.9049
Vps37b,22240.74331
Kpna1,7958.42751
Rock2,8702.862732
Mynn,8154.06407
Stard7,4606.351732
Epc1,4997.624852
Phf19,110.9454085
Galnt6,2643.210839
Phf2,8233.673753
Dhfr,155.8317188
E2f8,181.2390643
Pde4b,13662.37657
Kat7,8840.062398
Preb,682.6106814
Spata2,3813.642554
Miat,94.85408972
Zfp622,6689.75406
Gpbp1,12277.67624
Eif2s2,6689.75406
Osbpl2,3150.510837
Tmx4,5249.157572
Jak3,3288.557414
0610030E20Rik,3568.885126
Atp7a,2640.670105
Ccr5,1222.093317
Glul,9804.694614
Ubxn7,10431.40913
Gpr55,2694.02553
Rbm14,12057.47924
Taf1,1828.481962
Cdc40,4749.479778
Tmem161b,1670.109508
Bcl3,1843.726369
Esyt1,8954.395452
Tnks2,15614.50761
Sf3b1,43387.27693
Chaserr,2818.521523
Prim1,146.5156922
Rnf4,12741.78375
Trim33,5066.224685
Fanca,44.88631032
Josd1,2799.042558
Pde3b,27146.0548
Stk24,11999.04235
Nufip1,2200.276117
Tmf1,7921.163403
Papola,19178.31127
Sympk,1305.937557
Cad,2393.371942
4930503L19Rik,12948.43016
Tkt,3202.17244
Pnpla7,205.7994982
Mdc1,382.804005
Uap1l1,190.555091
Wdr43,7164.87142
Cdc45,209.1871443
Dedd2,2455.196483
Tm9sf2,8550.418659
Scyl2,6845.585779
