gene_id,FPKM
Zfp52,19914.22431
Gpcpd1,10740.88338
Spty2d1,18704.87321
Lpin2,4583.634948
Tnfaip3,22318.35602
Dipk2a,3229.793102
Tent5a,21407.70007
Tmem64,20742.31412
Ipmk,8180.118845
Fosl2,28765.80014
Paxbp1,48570.74574
Camsap2,7412.739432
Zmat3,12760.11117
Ifngr1,8701.014049
Ets2,7915.421516
Lrrc58,9892.152031
Gna13,37721.79786
Nr3c1,65182.32447
Tab3,4042.098209
Thap12,6931.91309
Slc39a10,4396.646926
Cmtm6,19043.63722
Itgb1,8365.892659
Prdm2,10009.9302
Sos2,4331.079697
Pdzd8,9462.322423
Csnk1g1,6148.748973
P2ry10,18967.14212
Mtmr3,15182.456
Prdx6,7302.24651
Mef2d,7474.664036
Fam102a,28985.57178
Mlec,5131.242725
Csf2rb,5720.133573
Il1r2,1114.642883
Spn,2880.101217
Rac2,4684.414206
Capn2,7381.170025
Fermt3,3839.325485
Skap1,966.5095148
Top2a,4430.644748
Myo1g,2707.683691
Cbx5,1249.419963
Atp2a3,1832.239771
Il9r,892.4428308
Cdk4,781.9499089
Tph1,5778.415554
Flot1,296.2667357
Krcc1,152.9901996
Egr1,995.6505052
Itgb2,2918.955871
Elmo2,2458.771065
Dnajc5,13177.7987
Arap2,3816.255534
Ttc7,621.6744618
Rora,18007.91786
Abi1,12658.1177
Padi2,1840.739227
B4galnt4,172.4175265
Tbc1d9b,1049.075654
Parvg,773.4504534
Il12rb1,3169.082705
Ccnd2,3981.387813
Kansl3,8403.533105
Ssh2,12129.93725
Fam168b,18561.59667
Smox,27214.0424
Neo1,3147.226963
Rab8b,54683.06848
Cd47,6814.134921
Chaf1a,468.6842622
Myo6,8686.443553
Pank3,12874.24671
Dusp16,11968.4476
Rybp,2113.936012
Dennd1c,509.9673319
Tab2,35638.21704
Mtpn,23046.88078
Ccser2,10790.6659
Nabp1,594.9618872
Hif1a,72042.5993
Jmy,3649.909047
Timeless,273.196785
Ucp2,6333.308579
Atg14,1782.457246
Wac,14742.91272
Nedd4,1942.732693
Ccny,7888.708941
Kntc1,163.918071
Zc3hav1,27560.09167
Poldip3,12939.81394
Rb1cc1,8044.127557
Otud4,14031.38688
Vps4b,8090.267458
Pde4d,10026.92911
Mkrn1,5767.487682
Socs3,1339.27135
Eif1a,7163.826805
Ntng2,602.2471348
Itgal,9940.720348
Nr4a1,4197.516825
Tubb4b,2955.382109
Rasal3,4261.869845
Myl12b,1482.547886
Crem,8433.888303
Nepro,4133.163804
Smad5,3262.576716
Ubl3,7214.823539
Rapgef2,30217.99283
Bnip3l,5497.933521
Unc13d,802.5914438
Kdm5b,10993.43863
Ccr4,4360.220688
Pola2,363.048172
Adipor2,9456.251383
Pttg1ip,6646.574226
Pkn2,7613.083741
Foxm1,501.4678764
Nr2c2,6543.366552
Aldh3a1,1376.911796
Bmt2,1994.943634
Jag1,3543.058749
Ccr2,2996.665179
Bckdk,160.2754472
Tcf12,7667.723098
Btbd7,4987.966189
Coro2a,2877.672801
Ets1,45398.02041
Fam91a1,8703.442465
Oser1,2232.928389
Abcb9,962.866891
Ptbp2,4357.792272
Kbtbd2,6890.63002
Prps1l3,4265.512469
Lat2,1091.572932
Birc3,882.7291674
Nopchap1,4100.38019
Ganab,3771.32984
Adss,7537.802849
Pola1,431.0438163
Slc7a8,953.1532275
Scly,279.2678246
Il27ra,1426.694321
Daam1,6421.945758
Fam199x,3139.941715
Pcyt1a,14118.80985
Pgghg,97.13663465
Trappc8,8044.127557
Avil,148.1333678
Crkl,7693.221464
Scd2,5198.024162
Tipin,367.9050037
Gnaq,10751.81125
Zfp760,1273.704122
Was,1183.852735
Tpp1,3409.495876
Adamts10,154.2044075
Snx18,10950.94135
Fam107b,23619.98692
Il24,682.3848584
Mcm6,2670.043245
Trpm7,15839.34249
Clspn,468.6842622
Dock2,3802.899247
Sp3,13005.38117
Retreg3,7733.290326
Gimap8,392.1891624
Aagab,4138.020636
Il2ra,25835.9164
Il7r,9684.522475
Slc49a4,1695.034275
Kpna4,12259.8575
Maea,7617.940572
Jarid2,5057.176041
Nr1d2,10098.56738
Gnb1,21849.67176
Snd1,2393.203836
G3bp2,12888.81721
Cdc6,251.3410422
Cnnm2,16848.34928
Lrp12,6005.472437
Cdc73,5395.940055
Ythdf3,6998.694526
Stam,3306.288202
Celf1,24820.83857
Pqlc3,524.5378271
Epc2,5916.835258
Blcap,4697.770493
Lamc1,9368.828412
Ramp3,1164.425408
Zfand6,4620.061185
Rsbn1l,10654.67461
Ctdsp2,6143.892142
Dstn,5007.393516
Scaf8,11150.07145
Qki,10634.03308
Gmfb,11243.56546
Tollip,7997.987655
Rasa1,8832.148505
Rc3h1,8414.460976
Trmt10c,1642.823334
Thumpd1,4652.8448
Suco,5856.124861
Atp6v0a1,641.1017887
Smg7,16510.79947
Nup62,7505.019235
Tlk1,16875.06185
Nomo1,1200.851646
A130040M12Rik,9688.165098
Cxcr4,2717.397354
Crebrf,6377.020065
Zfp36l1,6860.274822
Picalm,12347.28047
Ipo7,12219.78864
Prpf39,11590.82893
Map3k2,12599.83572
Stxbp2,1109.786051
