gene_id,FPKM
Zfp52,1422.526846
Gpcpd1,1014.796222
Spty2d1,1818.478586
Lpin2,462.0947081
Tnfaip3,2759.883296
Dipk2a,455.7522317
Tent5a,3409.534091
Tmem64,3116.874109
Ipmk,1299.301591
Fosl2,4704.305342
Paxbp1,7851.985765
Camsap2,1266.683141
Zmat3,2221.678871
Ifngr1,1707.938284
Ets2,1484.139474
Lrrc58,1983.382972
Gna13,7379.924308
Nr3c1,13823.88032
Tab3,873.4496051
Thap12,1586.525164
Slc39a10,1103.590891
Cmtm6,4725.144907
Itgb1,2169.126924
Prdm2,2470.847586
Sos2,1151.612498
Pdzd8,2430.074524
Csnk1g1,1697.065467
P2ry10,5425.535514
Mtmr3,4439.73347
Prdx6,2178.187604
Mef2d,2644.812653
Fam102a,10591.0295
Mlec,15509.1669
Csf2rb,18317.97787
Il1r2,4263.050199
Spn,11575.92547
Rac2,19060.95367
Capn2,30279.88833
Fermt3,19369.92288
Skap1,4914.51313
Top2a,22533.91253
Myo1g,14672.86608
Cbx5,6897.896103
Atp2a3,10367.23069
Il9r,5569.600334
Cdk4,6311.670071
Tph1,61074.42332
Flot1,2867.705394
Krcc1,1919.052141
Egr1,19934.40328
Itgb2,9891.544957
Elmo2,7110.822096
Dnajc5,3758.370292
Arap2,960.4321383
Ttc7,3776.491653
Rora,1537.597489
Abi1,3974.014489
Padi2,11251.55311
B4galnt4,2297.788588
Tbc1d9b,7032.900243
Parvg,3062.510026
Il12rb1,11477.16405
Ccnd2,12600.68844
Kansl3,1955.294863
Ssh2,4353.657004
Fam168b,6619.73321
Smox,6434.895327
Neo1,415.8852373
Rab8b,11430.04851
Cd47,2315.003881
Chaf1a,2682.867511
Myo6,33143.06339
Pank3,3063.416094
Dusp16,2701.89494
Rybp,396.8578081
Dennd1c,4641.786646
Tab2,7233.141283
Mtpn,7378.112172
Ccser2,2773.474316
Nabp1,4169.725189
Hif1a,16599.16677
Jmy,511.9284511
Timeless,1957.106999
Ucp2,45256.28721
Atg14,239.2019665
Wac,3586.217362
Nedd4,9537.272347
Ccny,2613.100271
Kntc1,3032.60978
Zc3hav1,9101.453613
Poldip3,3498.32876
Rb1cc1,1909.99146
Otud4,3972.202353
Vps4b,2837.805148
Pde4d,1471.454521
Mkrn1,1337.356449
Socs3,5252.476515
Eif1a,1947.14025
Ntng2,4140.731011
Itgal,19666.20713
Nr4a1,439.4430067
Tubb4b,9822.683785
Rasal3,14393.79712
Myl12b,6553.590242
Crem,1044.696467
Nepro,1206.882649
Smad5,795.5277523
Ubl3,1326.483633
Rapgef2,6956.790527
Bnip3l,1046.508604
Unc13d,4048.31207
Kdm5b,1785.860136
Ccr4,863.4828564
Pola2,2421.919911
Adipor2,2712.767757
Pttg1ip,1897.306507
Pkn2,1781.329796
Foxm1,2994.554922
Nr2c2,1570.215939
Aldh3a1,8951.952384
Bmt2,257.3233276
Jag1,337.9633845
Ccr2,11495.28541
Bckdk,1410.747962
Tcf12,2860.45685
Btbd7,1487.763746
Coro2a,13645.38491
Ets1,17477.14671
Fam91a1,2304.131064
Oser1,342.4937248
Abcb9,4332.817439
Ptbp2,617.9384135
Kbtbd2,1456.957432
Prps1l3,1233.158623
Lat2,3626.990424
Birc3,5010.556344
Nopchap1,1502.260835
Ganab,9119.574974
Adss,2112.044636
Pola1,2395.643938
Slc7a8,6191.16302
Scly,2026.874239
Il27ra,4620.041013
Daam1,1320.141156
Fam199x,610.6898691
Pcyt1a,3002.709534
Pgghg,1331.920041
Trappc8,2376.616508
Avil,1341.88679
Crkl,2359.401215
Scd2,10221.35373
Tipin,1669.883425
Gnaq,2597.697114
Zfp760,209.3017207
Was,4221.371068
Tpp1,7445.161208
Adamts10,1596.491913
Snx18,1755.053823
Fam107b,5518.860523
Il24,2692.83426
Mcm6,8577.746277
Trpm7,4073.681975
Clspn,4157.040236
Dock2,17342.14257
Sp3,3599.808383
Retreg3,2227.115279
Gimap8,8295.053044
Aagab,1128.960797
Il2ra,79984.96969
Il7r,28539.3316
Slc49a4,233.7655582
Kpna4,4987.904643
Maea,2640.282312
Jarid2,936.8743689
Nr1d2,2643.906585
Gnb1,10585.59309
Snd1,7668.960018
G3bp2,5308.652734
Cdc6,2060.398757
Cnnm2,2380.240781
Lrp12,1478.703066
Cdc73,1618.237546
Ythdf3,2129.259929
Stam,848.9857676
Celf1,4792.193943
Pqlc3,2662.934014
Epc2,1369.068831
Blcap,698.5784704
Lamc1,3665.045283
Ramp3,79.73398884
Zfand6,1485.95161
Rsbn1l,2282.385431
Ctdsp2,1823.008927
Dstn,1130.772933
Scaf8,2764.413636
Qki,3125.028722
Gmfb,3246.441841
Tollip,2633.033768
Rasa1,2467.223314
Rc3h1,2291.446111
Trmt10c,443.973347
Thumpd1,1347.323198
Suco,1768.644843
Atp6v0a1,2235.269892
Smg7,3691.321256
Nup62,2733.607322
Tlk1,5824.205458
Nomo1,4104.488289
A130040M12Rik,31848.29213
Cxcr4,105.1038944
Crebrf,1365.444559
Zfp36l1,1974.322292
Picalm,5294.155646
Ipo7,4603.731788
Prpf39,1698.877603
Map3k2,2933.848362
Stxbp2,3826.325396
Tial1,1981.570836
Pclaf,3898.810841
Uhrf2,3055.261482
Cand1,3583.499158
Anapc5,3688.603052
Atp2b4,8331.295766
Rnf145,4237.680293
Rnf152,265.4779401
Rictor,2222.584939
Alkbh5,3761.088496
Osm,13823.88032
Rbm27,2008.752878
Adgrg5,4540.307024
Crebbp,2247.048776
Wls,5331.304436
Ranbp9,2499.841764
Nmt2,1469.642385
Knstrn,1655.386337
Nrros,4241.304566
Erbin,12854.3875
Ice1,2235.269892
Sec22b,1446.084616
Slc25a19,8097.530208
Top2b,4643.598782
Itprid2,5510.705911
Luc7l3,2439.135204
Arntl,739.3515329
Vopp1,1292.053046
Ogdh,6184.820544
Mfsd14b,2057.680553
Pde7a,354.2726095
Rnf11,1198.728037
Ube2e3,800.0580926
Rnf125,239.2019665
Dbnl,7476.87359
Tlk2,1428.869323
Arl5b,379.6425151
Map4k3,1705.22008
Gstm1,2084.862595
Zfp654,554.5136497
Timm29,935.9683008
Chmp2b,933.2500967
Gpat4,2535.178418
Ccdc117,841.7372231
Pold1,3875.253071
Stab1,2247.048776
Plekhf2,659.6175441
Dpp8,3589.841634
Ube2o,1666.259153
Ccnl1,2845.959761
Rab5b,2363.931556
