gene_id,FPKM
Rab5b,2358.193854
Rfc5,1267.298818
Slc25a11,2079.107272
Kdm6a,1692.949737
Smurf1,1197.965988
Mob1b,688.940147
Clk1,1892.17192
Plcl2,2373.113577
Lims1,1725.422075
Fndc9,93.02886062
Dusp4,426.5285496
Ddx10,1154.08445
Zzz3,2051.023087
Hipk1,8301.509364
Ppp4r3b,4618.970693
Enc1,436.182488
Clock,1629.760322
Tcf3,3145.428646
Slc16a1,1392.800017
Lmo4,695.9611931
Tmem201,900.4491603
Tbcd,2627.626497
Tex2,5888.902403
Wtap,2279.207085
Supt20,2893.548618
Smurf2,899.5715296
Fam222b,1061.05559
Shmt2,4897.179644
Cnot2,2414.362222
Slc19a2,594.1560249
Apobec3,5859.062958
Cltc,16765.38042
Ndel1,1875.496935
Zbtb44,935.5543908
Lig1,6231.1784
Zfp317,1033.849036
Taf5l,1097.038451
Gimap3,11853.28105
Dhx15,6634.010919
Vps37b,4353.048572
Kpna1,2359.949115
Rock2,2921.632802
Mynn,1921.133735
Stard7,2070.330964
Epc1,1502.503862
Phf19,1132.143681
Galnt6,7279.947159
Phf2,3303.402183
Dhfr,1157.594973
E2f8,2648.689635
Pde4b,3223.537784
Kat7,3470.152027
Preb,3227.925937
Spata2,1199.72125
Miat,1316.446141
Zfp622,1557.7946
Gpbp1,3240.212768
Eif2s2,2144.929579
Osbpl2,1379.635556
Tmx4,1685.05106
Jak3,14189.53414
0610030E20Rik,987.3346056
Atp7a,543.2534408
Ccr5,4403.073526
Glul,4012.527837
Ubxn7,2193.199271
Gpr55,7530.949556
Rbm14,2732.942188
Taf1,4839.256014
Cdc40,1520.934108
Tmem161b,451.1022109
Bcl3,7608.181063
Esyt1,30417.80453
Tnks2,5378.998931
Sf3b1,13942.04226
Chaserr,277.3313203
Prim1,1413.863155
Rnf4,4385.520911
Trim33,1465.64337
Fanca,1173.392327
Josd1,910.1030987
Pde3b,4038.85676
Stk24,3291.115352
Nufip1,537.9876562
Tmf1,2223.038717
Papola,6734.060826
Sympk,4465.38531
Cad,8288.344903
4930503L19Rik,6012.648341
Tkt,7875.858445
Pnpla7,1256.767249
Mdc1,2450.345083
Uap1l1,1950.973181
Wdr43,2443.324037
Cdc45,1736.831275
Dedd2,880.2636528
Tm9sf2,3635.14661
Scyl2,2682.917235
Pcnx,828.483438
Plekhg2,2466.142437
Ascc3,2444.201668
Tspan14,2618.85019
Smad7,810.9308228
Cul3,4043.244914
Gem,398.4443653
Casp7,1079.485835
Il13,86021.85663
Txnl4a,4174.889528
Abhd13,1142.67525
Tnrc6b,3869.474023
Nup210,12833.59461
Nrip1,6135.516647
Ipo9,3458.742827
Aqr,3700.091287
Ptpn6,1604.30903
Dcp1a,1537.609093
Rad54l2,2496.859514
Ube4a,3470.152027
Ints6,2119.478287
Arih1,3439.434951
Hdac4,1115.468697
Cyp11a1,56341.26194
Tnfrsf8,18756.72461
Lilrb4b,23545.07804
Ccnf,1873.741674
Desi1,1691.194476
Anxa6,17931.7517
Rbm33,3286.727198
Susd6,4127.497467
Vgll4,990.8451287
Dusp1,4954.225643
Vps37a,899.5715296
Ppm1a,806.542669
Rnf115,1225.172542
Ptpn2,2973.413017
Serinc1,7073.70393
Gatad2b,1186.556788
Rab10,5501.867238
Fem1c,1278.708018
Birc2,3196.33123
Fnip1,2223.916347
Rlf,1381.390817
Glg1,3555.282211
Vezf1,1269.05408
